anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2020,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,969,0
2020,200,ARG,26,Delitos contra la administración pública,58447,0
2020,200,ARG,27,Delitos contra la fe pública,8786,0
2020,200,ARG,28_1,Siembra y producción de estupefacientes,960,0
2020,200,ARG,28_10,Otros delitos previstos en la ley 23.737,10263,0
2020,200,ARG,28_2,Comercialización y entrega de estupefacientes,5012,0
2020,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,630,0
2020,200,ARG,28_4,Desvío de Importación de estupefacientes,72,0
2020,200,ARG,28_5,Organización y financiación de estupefacientes,167,0
2020,200,ARG,28_6,Tenencia simple de estupefacientes,9253,0
2020,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,30405,0
2020,200,ARG,28_8,Confabulación de estupefacientes,68,0
2020,200,ARG,28_9,Contrabando de estupefacientes,382,0
2020,200,ARG,29_1,Ley de residuos peligrosos,35,0
2020,200,ARG,29_2,Ley de fauna,1147,0
2020,200,ARG,29_3,Delitos migratorios,1899,0
2020,200,ARG,29_4,Obstrucción del código aduanero,190,0
2020,200,ARG,29_5,Contrabando Simple,18813,0
2020,200,ARG,29_6,Contrabando Agravado,118,0
2020,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,0
2020,200,ARG,29_8,Otros delitos previstos en leyes especiales,66598,0
2020,200,ARG,3,Muertes en Accidentes Viales,2741,2978
2020,200,ARG,31,Suicidios (consumados),3170,3171
2020,200,ARG,32,Delitos contra el orden económico y financiero,518,0
2020,200,ARG,4,Homicidios culposos por otros hechos,458,497
2020,200,ARG,5,Lesiones dolosas,134113,142816
2020,200,ARG,6,Lesiones culposas en Accidentes Viales,62259,72544
2020,200,ARG,7,Lesiones culposas por otros hechos,4516,4675
2020,200,ARG,8,Otros delitos contra las personas,49773,51308
2020,200,ARG,9,Delitos contra el honor,757,771
